City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Wundanyi,KE,-3.4019,38.364,61.97,92,100,3.36,overcast clouds
217,Elizabeth City,US,36.2946,-76.2511,53.62,78,100,7.72,overcast clouds
218,Mandiana,GN,10.6333,-8.6833,79.39,62,100,4.34,overcast clouds
219,Red Wing,US,44.5625,-92.5338,43.11,58,0,10.36,clear sky
220,Altay,CN,47.8667,88.1167,34.3,55,63,7.7,broken clouds
221,Rabak,SD,13.1809,32.74,86.14,18,14,10.22,few clouds
222,Los Zacatones,MX,22.95,-102.05,76.57,8,98,16.6,overcast clouds
223,Kununurra,AU,-15.7667,128.7333,85.98,58,43,4.61,scattered clouds
224,Yumen,CN,40.2833,97.2,49.59,13,1,17.47,clear sky
225,Indramayu,ID,-6.3264,108.32,81.34,79,71,3.83,broken clouds
226,Pueblo,US,38.2545,-104.6091,74.16,22,46,8.63,scattered clouds
227,Verkhnyaya Inta,RU,65.9811,60.3094,0.43,95,82,5.37,broken clouds
228,Kempele,FI,64.9131,25.5034,14.02,92,0,3.44,clear sky
229,Kismayo,SO,-0.3582,42.5454,79.95,80,41,10.22,scattered clouds
230,Mount Gambier,AU,-37.8333,140.7667,62.51,72,75,6.91,broken clouds
231,Karak,JO,31.1667,35.75,65.64,25,100,3.62,overcast clouds
232,Provideniya,RU,64.3833,-173.3,18.36,52,0,11.88,clear sky
233,Bacolod,PH,10.6667,122.95,84.7,64,100,12.44,overcast clouds
234,Kodiak,US,57.79,-152.4072,37.99,69,100,3.62,overcast clouds
235,Rivadavia,AR,-33.1905,-68.4608,61.86,36,0,8.79,clear sky
236,Rincon,US,32.296,-81.2354,64.85,92,100,3.96,overcast clouds
237,Minggang,CN,32.4586,114.0486,56.68,52,0,4.12,clear sky
238,Bantry,IE,51.6833,-9.45,43.79,88,13,5.23,few clouds
239,Zhob,PK,31.3411,69.4481,59.7,17,0,2.93,clear sky
240,Oussouye,SN,12.485,-16.5469,71.78,69,100,10.6,overcast clouds
241,Rabo De Peixe,PT,37.8,-25.5833,56.71,88,20,6.91,few clouds
242,Aklavik,CA,68.2191,-135.0107,-5.48,87,100,5.93,overcast clouds
243,Meadow Lake,US,34.8014,-106.5436,74.86,14,17,9.1,few clouds
244,Padang,ID,-0.9492,100.3543,75.25,72,11,2.59,few clouds
245,Coihaique,CL,-45.5752,-72.0662,41.61,93,40,2.3,scattered clouds
246,Bereda,ES,43.2686,-7.5406,28.15,100,18,2.51,few clouds
247,Kande,TG,9.9578,1.0447,79.14,52,95,5.37,overcast clouds
248,Tecoanapa,MX,16.5167,-98.75,77.88,65,73,7.02,broken clouds
249,Codrington,AU,-38.2667,141.9667,63.86,65,97,5.95,overcast clouds
250,Atar,MR,20.5169,-13.0499,72.34,19,0,4.92,clear sky
251,Nizwa,OM,22.9333,57.5333,73.72,22,57,1.41,broken clouds
